brand,model,year,flex,shape,price,available_lengths,ground_tricks,park,carving,run_tricks,powder,image_url,url
NITRO,Mystique,2026,4,double_camber,66000,138 / 142 / 146 / 149 / 152 / 155,7,7,5,6,5,,https://www.nitrosnowboards.com/en/mystique
NITRO,Optisym,2026,6,camber,88000,146 / 149 / 153 / 156 / 159,5,6,8,8,6,,https://www.nitrosnowboards.com/en/optisym
NITRO,Pantera,2026,9,camber,88000,160 / 163,2,3,9,7,6,,
NITRO,Pow,2026,8,rocker,88000,157 / 163,3,3,5,5,9,,
NITRO,Santoku,2026,5,camber,85800,156 / 159 / 162,5,5,7,7,7,,
NITRO,Slash,2026,7,camber,82500,151 / 156 / 162,3,3,8,7,8,,
NITRO,Squash,2026,7,camber,77000,156 / 159 / 163,6,5,6,7,8,,https://www.nitrosnowboards.com/en/squash
NITRO,T1,2026,7,camber,60500,149 / 152 / 155 / 158,8,9,3,5,3,,https://www.nitrosnowboards.com/en/t1
NITRO,Team,2026,7,camber,82500,152 / 155 / 157 / 159 / 162,5,7,7,7,6,,https://www.nitrosnowboards.com/en/team
NITRO,Team Pro,2026,8,camber,99000,146 / 149 / 152 / 155 / 157 / 159 / 162,4,6,8,8,7,,https://www.nitrosnowboards.com/en/team-pro
NOVEMBER,ARTISTE,2026,4,hybrid_camber,99000,148 / 150 / 152 / 154 / 156,9,7,5,7,4,,
NOVEMBER,BACKCITY,2026,6,camber,110000,150 / 153 / 156 / 159,5,5,8,8,7,,
NOVEMBER,C-KENTIAL,2026,6,hybrid_camber,93500,150 / 153 / 156 / 159,5,5,7,7,6,,
NOVEMBER,D4,2026,3,double_camber,99000,147 / 150 / 152 / 155,10,8,3,5,3,,
NOVEMBER,DESIRE,2026,6,camber,107800,150 / 153 / 155 / 158,5,5,9,8,6,,
NOVEMBER,DESIRE RS,2026,7,camber,110000,148 / 152 / 156 / 160,3,3,9,7,5,,
NOVEMBER,DESIRE W,2026,5,hybrid_camber,82500,138 / 142 / 146 / 150,5,5,6,6,5,,
NOVEMBER,DOGWALK,2026,5,hybrid_camber,88000,150 / 152 / 155 / 158,6,6,6,7,5,,
NOVEMBER,DX4,2026,4,double_camber,102300,148 / 150 / 153 / 155,9,7,4,6,4,,
NOVEMBER,ICECAT,2026,4,hybrid_camber,88000,148 / 150 / 152 / 154,8,7,4,6,4,,
NOVEMBER,KAILA,2026,3,double_camber,95700,139 / 143 / 147 / 150 / 153,10,7,3,5,3,,
NOVEMBER,KJ,2026,5,hybrid_camber,88000,148 / 150 / 152 / 154 / 156,7,6,5,6,5,,
OGASAKA,CT,2026,6,camber,116600,146 / 148 / 150 / 152 / 154 / 156 / 158 / 161,5,5,8,7,6,,https://www.ogasaka-snowboard.com/product.html
OGASAKA,CT-IZ,2026,6,camber,123200,148 / 150 / 152 / 154 / 156 / 158,6,5,9,8,5,,
OGASAKA,CT-IZS,2026,7,camber,110000,148 / 152 / 154 / 156 / 158,3,3,9,8,5,,
OGASAKA,CT-S,2026,7,camber,136400,150 / 154 / 156 / 158 / 160 / 162,3,3,10,7,5,,https://www.ogasaka-snowboard.com/product.html
OGASAKA,CT-TWIN,2026,5,camber,116600,148 / 150 / 152 / 154 / 156 / 158,7,6,7,7,5,,https://www.ogasaka-snowboard.com/product.html
OGASAKA,FC,2026,10,camber,132000,155 / 158 / 161 / 164,1,2,10,5,4,,
OGASAKA,FC-S,2026,9,camber,137500,154 / 156 / 158 / 160 / 163,1,2,10,6,4,,https://www.ogasaka-snowboard.com/product.html
OGASAKA,ORCA,2026,6,hybrid_camber,138600,150 / 153 / 156 / 159,5,5,7,7,7,,
OGASAKA,SPROUT,2026,6,camber,138600,148 / 152 / 156 / 159 / 164,4,4,7,7,9,,https://www.ogasaka-snowboard.com/product.html
OGASAKA,TF,2026,5,hybrid_camber,110000,148 / 150 / 153 / 155 / 158,7,6,6,7,5,,
RICE28,RT6,2026,5,hybrid_camber,111100,148 / 150 / 152 / 154 / 156,7,6,5,7,5,,
RICE28,RT7,2026,3,double_camber,83600,147 / 150 / 152 / 154,10,8,3,5,3,,https://www.rice28jp.com/
RICE28,RT7 LTD,2026,5,hybrid_camber,121000,148 / 150 / 152 / 154,8,7,4,7,4,,
RICE28,RT9,2026,1,flat,75900,148 / 150 / 152 / 154,10,7,2,4,2,,
RICE28,TP8,2026,6,hybrid_camber,113300,148 / 150 / 152 / 154 / 156,6,5,6,7,6,,
RIDE,Agenda,2026,6,hybrid_camber,71500,152 / 155 / 158 / 161,5,5,7,7,6,,
RIDE,Algorythm,2026,6,hybrid_camber,82500,152 / 155 / 157 / 159 / 162,5,6,7,8,7,,
RIDE,Benchwarmer,2026,3,flat,60500,148 / 151 / 154 / 157,8,8,3,5,4,,
RIDE,Berzerker,2026,7,hybrid_camber,88000,155 / 158 / 160 / 163,3,4,9,8,7,,
RIDE,Burnout,2026,4,hybrid_camber,66000,148 / 152 / 155 / 158,7,8,4,5,4,,
RIDE,Compact,2026,4,hybrid_camber,66000,138 / 142 / 146 / 150,7,7,5,6,5,,
RIDE,Heartbreaker,2026,3,flat,44000,139 / 143 / 147,8,7,3,4,4,,
RIDE,Manic,2026,4,hybrid_camber,63800,148 / 151 / 154 / 157,8,9,3,5,3,,
RIDE,Mtnpig,2026,7,hybrid_camber,93500,155 / 158 / 161 / 164,3,3,7,7,9,,
RIDE,Peace Seeker,2026,7,hybrid_camber,77000,155 / 158 / 161 / 164,3,3,8,7,8,,
RIDE,Psychocandy,2026,4,rocker,71500,147 / 151 / 154 / 157,8,8,4,5,6,,
RIDE,Saturday,2026,4,hybrid_camber,71500,138 / 142 / 146 / 150,7,7,5,6,6,,
RIDE,Shadowban,2026,5,hybrid_camber,77000,151 / 154 / 156 / 159 / 162,6,7,6,7,6,,
RIDE,Superpig,2026,6,hybrid_camber,93500,148 / 151 / 154 / 158,6,6,7,7,8,,
RIDE,Twinpig,2026,4,flat,71500,148 / 151 / 154 / 157,8,9,3,5,3,,
RIDE,Warpig,2026,5,flat,77000,148 / 151 / 154 / 158,7,7,6,6,8,,
RIDE,Zero,2026,3,rocker,57200,147 / 151 / 155,8,7,3,4,4,,
ROME,Agent,2026,6,hybrid_camber,79200,152 / 155 / 158 / 161,5,6,7,7,6,,
ROME,Artifact,2026,4,hybrid_camber,60500,149 / 152 / 155 / 158,8,8,3,5,3,,
ROME,Freaker,2026,5,rocker,66000,150 / 153 / 156 / 159,7,6,4,6,7,,
ROME,Mechanic,2026,5,hybrid_camber,74800,150 / 153 / 156 / 159,7,8,5,6,4,,
ROME,Muse,2026,4,hybrid_camber,69300,143 / 146 / 149 / 152,7,7,5,6,5,,
ROME,Ravine,2026,6,hybrid_camber,88000,155 / 158 / 161,3,4,9,7,6,,
ROME,Stale Crewzer,2026,4,double_camber,82500,148 / 151 / 154 / 157,8,9,3,5,3,,
ROME,Stale Fish,2026,5,hybrid_camber,71500,148 / 151 / 154 / 157,7,7,4,6,6,,
ROME,Warden,2026,6,hybrid_camber,85800,155 / 158 / 161 / 164,4,4,8,7,7,,
ROSSIGNOL,District,2026,4,flat,55000,149 / 152 / 155 / 158,7,7,4,5,4,,
ROSSIGNOL,Frenemy,2026,4,hybrid_camber,46200,140 / 144 / 148 / 152,6,6,5,6,5,,
ROSSIGNOL,Gala,2026,3,rocker,39600,138 / 142 / 146,8,6,3,4,5,,
ROSSIGNOL,Jibsaw,2026,4,hybrid_camber,63800,149 / 152 / 155 / 158,8,8,4,5,3,,
ROSSIGNOL,Juggernaut,2026,9,camber,93500,157 / 160 / 163,2,2,10,6,5,,
ROSSIGNOL,One,2026,5,hybrid_camber,71500,152 / 155 / 158 / 161,6,6,6,7,6,,
ROSSIGNOL,Resurgence,2026,7,hybrid_camber,82500,155 / 158 / 161 / 164,3,3,8,7,7,,
ROSSIGNOL,Retox,2026,4,hybrid_camber,60500,148 / 151 / 154 / 157,8,8,4,5,3,,
ROSSIGNOL,Revenant,2026,8,camber,82500,155 / 158 / 161 / 164,3,4,9,7,7,,
ROSSIGNOL,Soulside,2026,5,hybrid_camber,93500,155 / 158 / 162,4,5,8,8,7,,
ROXY,Dawn,2026,4,hybrid_camber,63800,142 / 146 / 149 / 152,7,7,5,6,5,,
ROXY,Raina,2026,5,hybrid_camber,66000,142 / 145 / 148 / 151 / 154,5,5,6,6,6,,
ROXY,Smoothie,2026,5,hybrid_camber,68200,143 / 146 / 149 / 152,6,6,6,7,6,,
ROXY,XOXO,2026,5,hybrid_camber,71500,141 / 145 / 149 / 152,5,6,6,7,6,,
SALOMON,Abstract,2026,6,hybrid_camber,82500,152 / 155 / 158 / 162,5,5,7,7,8,,
SALOMON,Assassin,2026,6,hybrid_camber,88000,151 / 153 / 156 / 159 / 162,5,6,8,8,7,,
SALOMON,Craft,2026,6,hybrid_camber,88000,153 / 156 / 159 / 162,4,5,8,7,6,,
SALOMON,Dancehaul,2026,4,rocker,66000,148 / 152 / 155 / 158 / 161,8,7,4,5,7,,
SALOMON,Fastlane,2026,7,hybrid_camber,88000,155 / 158 / 161 / 164,3,3,7,7,9,,
SALOMON,Highpath,2026,6,hybrid_camber,82500,152 / 155 / 158 / 161,4,4,7,7,7,,
SALOMON,Huck Knife,2026,5,hybrid_camber,79200,148 / 150 / 152 / 155 / 158,6,9,5,6,3,,
SALOMON,Jetstream,2026,7,hybrid_camber,85800,155 / 158 / 161,3,3,8,7,8,,
SALOMON,Lotus,2026,3,rocker,44000,138 / 142 / 146,8,6,3,4,5,,
SALOMON,Oh Yeah,2026,4,hybrid_camber,66000,138 / 142 / 146 / 149 / 152,7,7,5,6,5,,
SALOMON,Pulse,2026,3,flat,60500,149 / 152 / 156 / 160,7,6,4,5,4,,
SALOMON,Rumble Fish,2026,5,hybrid_camber,79200,142 / 146 / 148 / 150 / 153,6,6,7,7,7,,
SALOMON,Sight,2026,4,hybrid_camber,60500,150 / 153 / 156 / 159 / 162,6,7,5,6,5,,
SALOMON,Sleepwalker,2026,3,flat,55000,148 / 150 / 152 / 155 / 158,8,9,3,4,3,,
SANTA CRUZ,All Star,2026,5,hybrid_camber,63800,152 / 155 / 158,6,7,6,6,5,,
SANTA CRUZ,Screaming Hand,2026,4,hybrid_camber,60500,150 / 153 / 156 / 159,7,8,4,5,4,,
SANTA CRUZ,Street Shark,2026,4,flat,46200,149 / 152 / 155,8,8,3,5,3,,
SCOOTER,DAYLIFE,2026,1,flat,68200,139 / 143 / 147 / 150,10,7,2,3,2,,
SCOOTER,DAYLIFE THRUSTER,2026,6,hybrid_camber,110000,147 / 150 / 152 / 155 / 158,5,5,8,8,6,,
SCOOTER,DAYLIFE VERNIER,2026,6,hybrid_camber,112200,143 / 147 / 150 / 151 / 155 / 159,6,5,7,8,7,,
SCOOTER,G9,2026,5,hybrid_camber,99000,145 / 148 / 150 / 153 / 155,7,7,6,7,5,,
SCOOTER,MACHS,2026,7,camber,115500,152 / 155 / 158 / 160 / 163,3,3,9,8,7,,
SCOOTER,SCT,2026,4,hybrid_camber,99000,143 / 147 / 150 / 152 / 155,8,7,5,6,5,,
SCOOTER,SPINOR,2026,6,camber,115500,148 / 152 / 155 / 158,4,4,8,7,5,,
SCOOTER,XX,2026,8,camber,138600,152 / 155 / 158 / 162,2,2,10,6,4,,
SEASON,Aero,2026,5,hybrid_camber,79200,149 / 153 / 157 / 161,6,7,6,6,5,,
SEASON,Forma,2026,7,camber,99000,155 / 158 / 162,3,3,9,8,6,,
SEASON,Kin,2026,4,hybrid_camber,71500,148 / 151 / 154 / 157,7,8,5,5,4,,
SEASON,Nexus,2026,6,camber,88000,152 / 155 / 158 / 161,4,5,8,7,7,,
SEASON,Primer,2026,4,hybrid_camber,60500,149 / 152 / 155 / 158,6,6,5,6,5,,
SIGNAL,Disruptor,2026,6,hybrid_camber,79200,153 / 156 / 159 / 162,5,6,7,7,6,,
SIGNAL,Ludo Machine,2026,5,hybrid_camber,77000,152 / 155 / 158 / 161,5,5,6,7,7,,
SIGNAL,OG,2026,5,camber,49500,151 / 154 / 157,5,6,7,6,5,,
SIGNAL,Park,2026,4,flat,46200,149 / 152 / 155,7,9,3,5,3,,
SIGNAL,Park Series,2026,4,hybrid_camber,68200,149 / 152 / 155 / 158,7,9,4,5,3,,
SIGNAL,Sierra,2026,6,camber,82500,155 / 158 / 161,4,5,8,7,6,,
SIGNAL,Yup,2026,3,flat,60500,148 / 151 / 154 / 157,9,8,3,4,3,,
SIMS,ATV,2026,5,hybrid_camber,66000,150 / 153 / 156 / 159,6,6,6,7,6,,
SIMS,Bowl Squad,2026,4,flat,60500,148 / 151 / 154,8,8,3,5,3,,
SIMS,Distortion,2026,5,hybrid_camber,60500,150 / 153 / 156 / 159,6,6,6,6,5,,
SIMS,Nub,2026,3,flat,55000,148 / 151 / 154,8,7,3,5,3,,
SLASH,ATV,2026,5,hybrid_camber,77000,152 / 155 / 158 / 161,6,6,6,7,6,,
SLASH,Brainstorm,2026,6,camber,82500,155 / 158 / 161 / 164,4,4,8,7,7,,
SLASH,Floater,2026,6,hybrid_camber,71500,154 / 157 / 160,3,3,6,6,9,,
SLASH,Happy Place,2026,3,rocker,55000,148 / 151 / 154 / 157,7,7,3,5,5,,
SLASH,Portal,2026,4,rocker,71500,148 / 152 / 156,7,7,4,5,6,,
SLASH,Spectrum,2026,5,hybrid_camber,71500,143 / 147 / 151,6,7,5,6,5,,
SPREAD,AX-F,2026,4,camber,99000,148 / 150 / 152 / 154,7,6,6,6,4,,
SPREAD,BX,2026,5,hybrid_camber,104500,148 / 150 / 152 / 154,6,6,6,7,5,,
SPREAD,BX-F,2026,4,hybrid_camber,99000,148 / 150 / 152 / 154,7,6,5,6,5,,
SPREAD,LTA,2026,5,flat,109780,148 / 150 / 152 / 154 / 156,7,6,5,6,5,,
SPREAD,LTA-F,2026,3,flat,89100,148 / 151 / 153 / 156,10,7,3,5,3,,
SPREAD,LTB,2026,4,hybrid_camber,89100,148 / 151 / 153 / 156,9,7,5,6,4,,
SPREAD,RD,2026,6,camber,82500,150 / 153 / 156 / 159,5,4,8,7,5,,
SPREAD,ZERO,2026,6,camber,115500,148 / 150 / 152 / 154,5,5,7,7,5,,
TELOS,Backslash,2026,5,hybrid_camber,74800,150 / 153 / 156 / 159,6,7,6,6,5,,
TELOS,Chillum,2026,4,rocker,66000,148 / 152 / 156,7,6,4,5,7,,
TELOS,DST,2026,6,camber,82500,154 / 157 / 160 / 163,4,5,8,7,6,,
TELOS,Legend,2026,4,hybrid_camber,82500,150 / 153 / 156,7,7,5,6,5,,
TELOS,Lemurian,2026,7,camber,143000,155 / 158 / 161,3,3,8,7,7,,
TORQREX,DIABLO,2026,3,double_camber,99000,148 / 150 / 152 / 154,10,8,2,5,2,,
TORQREX,FENRIR,2026,7,camber,121000,152 / 155 / 158 / 161,3,3,8,7,6,,
TORQREX,HYDRA,2026,4,hybrid_camber,110000,148 / 150 / 152 / 154 / 156,8,7,4,6,4,,
TORQREX,UNICORN,2026,3,flat,104500,148 / 150 / 152 / 154,9,7,3,5,3,,
TORQREX,WYVERN,2026,6,hybrid_camber,115500,150 / 153 / 156 / 159,5,5,7,7,6,,
UNIT,Drifter,2026,4,rocker,49500,149 / 152 / 155,7,6,4,5,6,,
UNIT,MOUNTAIN FREE,2026,5,rocker,115500,152 / 155 / 158 / 161,3,3,5,6,9,,
UNIT,RABBIT,2026,5,rocker,110000,148 / 152 / 156,4,4,5,6,9,,
UNIT,STROLLER,2026,6,hybrid_camber,124300,150 / 153 / 156 / 159,3,3,6,7,9,,
UNIT,TORNADO,2026,6,hybrid_camber,124300,150 / 153 / 156 / 159,4,3,6,7,9,,
WESTON,Backwoods,2026,7,hybrid_camber,93500,155 / 158 / 161 / 165,2,3,7,6,9,,
WESTON,Dream Machine,2026,5,hybrid_camber,71500,152 / 155 / 158 / 161,5,5,6,7,7,,
WESTON,Gnarnia,2026,7,hybrid_camber,82500,155 / 158 / 161,3,3,7,7,9,,
WESTON,Hatchet,2026,6,hybrid_camber,88000,153 / 157 / 161,4,5,7,7,8,,
WESTON,Logger,2026,5,rocker,82500,155 / 159 / 163,4,4,5,5,9,,
YES.,All-In,2026,5,hybrid_camber,71500,151 / 154 / 157 / 160,6,6,6,7,6,,
YES.,Basic,2026,3,flat,63800,148 / 151 / 154 / 157,8,7,3,4,4,,
YES.,Greats,2026,6,hybrid_camber,88000,154 / 156 / 158 / 161,5,6,7,7,7,,
YES.,Hel Yes,2026,5,hybrid_camber,79200,143 / 146 / 149 / 152,6,7,6,6,5,,
YES.,Hello,2026,4,hybrid_camber,52800,141 / 144 / 147 / 149,7,7,5,6,5,,
YES.,Pick Your Line,2026,7,hybrid_camber,93500,155 / 158 / 162 / 165,3,3,7,7,9,,
YES.,Rival,2026,5,hybrid_camber,63800,142 / 145 / 148 / 151,6,6,5,6,5,,
YES.,Sender,2026,7,hybrid_camber,82500,155 / 158 / 161,3,4,7,7,8,,
YES.,Shifter 3D,2026,4,double_camber,66000,148 / 151 / 154 / 157,9,8,3,6,3,,
YES.,Standard,2026,5,hybrid_camber,79200,152 / 155 / 158 / 161,6,7,6,7,6,,
YONEX,4XP,2026,4,hybrid_camber,81400,138 / 143 / 148 / 151 / 154,8,8,4,6,5,,https://www.yonex.co.jp/snowboards/boards/
YONEX,4XP POWTWIN,2026,5,hybrid_camber,81400,154 / 155 / 158,8,7,5,7,9,,
YONEX,ACHSE,2026,7,camber,92400,150 / 153 / 156 / 159,4,4,9,8,6,,
YONEX,DECLIC,2026,3,hybrid_camber,68200,136 / 139 / 142 / 145,9,7,4,5,4,,https://www.yonex.co.jp/snowboards/boards/
YONEX,GLIDE,2026,6,flat,101200,157 / 161,3,2,7,7,9,,https://www.yonex.co.jp/snowboards/boards/
YONEX,GRACE,2026,5,flat,99000,147 / 151,4,3,7,7,8,,https://www.yonex.co.jp/snowboards/boards/
YONEX,GROWENT,2026,3,hybrid_camber,68200,148 / 151 / 154 / 157,9,7,4,6,4,,https://www.yonex.co.jp/snowboards/boards/
YONEX,LUVARTH,2026,6,flat,110000,150 / 154 / 158,4,3,8,7,8,,https://www.yonex.co.jp/snowboards/boards/
YONEX,NEXTAGE,2026,6,camber,92400,152 / 155 / 158 / 161,5,5,8,7,7,,
YONEX,REGNA,2026,8,camber,231000,152 / 155 / 158 / 162,2,2,9,7,5,,
YONEX,REV,2026,7,camber,112200,150 / 153 / 156 / 159,4,4,8,8,7,,https://www.yonex.co.jp/snowboards/boards/
YONEX,SLEEK,2026,5,camber,99000,138 / 142 / 146,5,5,7,7,6,,https://www.yonex.co.jp/snowboards/boards/
YONEX,SMOOTH,2026,4,hybrid_camber,101200,148 / 150 / 152 / 155,8,8,5,6,5,,
YONEX,STYLAHOLIC,2026,5,camber,99000,138 / 143 / 148 / 151 / 154,7,9,5,6,3,,https://www.yonex.co.jp/snowboards/boards/
YONEX,SYMARC,2026,9,camber,114400,151 / 156 / 160 / 164,1,1,10,6,4,,https://www.yonex.co.jp/snowboards/boards/
GT Snowboards,BASE,2026,5,hybrid_camber,88000,148 / 150 / 152 / 154 / 156,10,7,5,6,3,,https://sportsbomber.base.shop/items/97752161
GT Snowboards,BUFF,2026,4,double_camber,88000,148 / 150 / 152 / 154,10,7,4,6,4,,https://sportsbomber.base.shop/items/97752222
GT Snowboards,BUFF Ladies,2026,3,double_camber,88000,136 / 138 / 140 / 142 / 145,10,7,4,5,4,,https://sportsbomber.base.shop/items/97752289
GT Snowboards,XENO,2026,4,flat,88000,148 / 150 / 152 / 154 / 156,10,7,4,6,3,,https://sportsbomber.base.shop/items/97751366
GT Snowboards,GRACE,2026,3,hybrid_camber,88000,139 / 141 / 143 / 145,10,7,5,6,3,,https://sportsbomber.base.shop/items/97753127
GT Snowboards,GAIN,2026,3,hybrid_camber,64900,148 / 150 / 152 / 154 / 156,8,6,4,5,3,,https://gtsnowboards.stores.jp/items/679c5f127dd1ee0240020f24
GT Snowboards,BUFF LIMITED,2026,6,double_camber,118800,148 / 150 / 152 / 154,10,8,5,7,4,,https://www.misty-snow.com/gt-snowboard_buff-ltd.html
HOLIDAY,Hi-Fi,2026,3,double_camber,97020,149 / 151 / 153 / 156,9,7,4,7,3,,https://item.rakuten.co.jp/auc-breakout/hifi/
HOLIDAY,Hi-Fi ZERO,2025,4,hybrid_camber,50050,141 / 145 / 149 / 151 / 153,7,6,5,6,3,,https://item.rakuten.co.jp/auc-breakout/17-jnus/
HOLIDAY,Hi-Fi SLAP,2025,4,hybrid_camber,70070,141 / 145 / 149 / 151 / 153,7,6,5,6,3,,https://item.rakuten.co.jp/auc-breakout/hdhf/
CROOJA,WORM,2026,4,double_camber,99000,137 / 139 / 142 / 145 / 148 / 150 / 152 / 154 / 156,9,7,4,8,3,,https://item.rakuten.co.jp/auc-breakout/quadra78-alf/
CROOJA,LOCUST,2026,5,camber,99000,148 / 150 / 152 / 154 / 156,7,6,6,7,4,,https://item.rakuten.co.jp/auc-breakout/quadra63/
CROOJA,BEETLE,2026,5,hybrid_camber,99000,148 / 150 / 152 / 154 / 156,8,6,5,8,3,,https://item.rakuten.co.jp/auc-breakout/gy-mach56/
CROOJA,SPIDER,2026,4,double_camber,99000,148 / 150 / 152 / 154,9,7,4,8,3,,https://item.rakuten.co.jp/auc-breakout/16-day/
PUBLIC,RESEARCH,2026,6,hybrid_camber,88110,154 / 157 / 160,3,3,7,5,8,,https://item.rakuten.co.jp/auc-breakout/pb-display/
WRX SB,Mk-CW,2026,6,hybrid_camber,135300,144 / 146 / 150 / 153 / 156,6,5,9,8,3,,https://www.follows.co.jp/SHOP/sn-sb-wrx-005.html
WRX SB,Mk-S,2026,5,hybrid_camber,132000,142 / 145 / 149 / 152 / 155 / 158,7,6,7,9,4,,https://www.follows.co.jp/SHOP/sn-sb-rice28-083.html
WRX SB,Mk-U,2026,5,hybrid_camber,135300,141 / 145 / 149 / 152 / 155,6,5,8,7,3,,https://www.follows.co.jp/SHOP/sn-sb-wrx-004.html
leverage,GT1,2026,4,hybrid_camber,106700,137 / 140 / 143 / 148 / 151 / 154,10,6,5,7,2,,https://www.misty-snow.com/leverage_gt1.html
leverage,GT2,2026,4,double_camber,106700,137 / 141 / 145 / 148 / 151 / 154,9,7,6,8,2,,https://www.misty-snow.com/leverage_gt2.html
leverage,GT3,2026,5,hybrid_camber,104500,137 / 141 / 145 / 149 / 152 / 155,8,7,7,9,3,,https://www.misty-snow.com/leverage_gt3.html
FIELD EARTH,ARTRIDE TWIN,2026,4,camber,100100,151 / 155,7,8,4,6,5,,https://aresbmx.com/?pid=179529227
FIELD EARTH,ARTRIDE DIRECTIONAL,2026,5,camber,119900,142 / 145 / 148 / 153 / 158,5,6,7,7,6,,https://aresbmx.com/?pid=179529056
FIELD EARTH,ARTRIDE 3D,2026,5,camber,150700,159,4,5,7,6,8,,https://robinoutdoor.jp/products/field-earth-artride-3d
FIELD EARTH,X3,2026,7,camber,174900,146 / 153 / 161,2,2,8,5,9,,https://www.fieldearthdesign.com/x3.html
TJ Brand,NAPOLEON FISH,2026,4,rocker,132000,142 / 147 / 153,3,3,4,5,10,,https://tj-brand.com/3dimensions/
TJ Brand,DHINGI,2026,5,hybrid_camber,137500,155 / 159,4,5,6,7,8,,https://tj-brand.com/3dimensions/
TJ Brand,DRAFT F.T.C.,2026,5,hybrid_camber,138600,152 / 156,5,7,6,7,7,,https://tj-brand.com/3dimensions/
TJ Brand,COELACANTH,2026,6,hybrid_camber,132000,148 / 155 / 158 / 161,5,5,7,7,7,,https://tj-brand.com/product/
TJ Brand,CRUISER,2026,6,hybrid_camber,115500,149 / 156 / 157 / 160,4,4,7,7,8,,https://tj-brand.com/product/
DINOSAURS WILL DIE,NeverNot,2025,7,camber,79000,153 / 157 / 161,5,7,6,7,6,,https://dinosaurswilldie.com/product/2425-nevernot/
DINOSAURS WILL DIE,Wizard Stick,2025,6,hybrid_camber,70000,146 / 149 / 154 / 158 / 160,6,6,5,6,7,,https://dinosaurswilldie.com/product/2425-wizard-stick/
DINOSAURS WILL DIE,Rat,2025,5,hybrid_camber,63000,151 / 153 / 155,7,7,4,6,4,,https://dinosaurswilldie.com/product/2425-rat/
DINOSAURS WILL DIE,Perry,2025,6,hybrid_camber,75000,150 / 153 / 156 / 159,6,6,5,6,5,,https://dinosaurswilldie.com/product/2425-perry/
DINOSAURS WILL DIE,maeTier,2025,6,camber,70000,152 / 155 / 158 / 162,6,7,6,6,6,,https://dinosaurswilldie.com/product/2425-maetier/
DINOSAURS WILL DIE,maeT,2025,5,camber,63000,148 / 152 / 155 / 158,7,7,4,6,4,,https://dinosaurswilldie.com/product/2425-maet/
DINOSAURS WILL DIE,Holce,2025,6,flat,79000,154 / 157 / 160,6,5,6,7,5,,https://dinosaurswilldie.com/product/2425-holce/
DINOSAURS WILL DIE,BilBored,2025,5,camber,70000,147 / 151 / 154 / 157,7,7,4,6,5,,https://dinosaurswilldie.com/product/2425-bilbored/
DINOSAURS WILL DIE,Darrah,2025,4,flat,75000,146 / 149 / 152 / 155,7,7,4,5,4,,https://dinosaurswilldie.com/product/2425-darrah-dark/
DINOSAURS WILL DIE,Brat,2025,3,hybrid_camber,58000,140 / 143 / 146,9,8,2,5,3,,https://dinosaurswilldie.com/product/2425-brat/
DINOSAURS WILL DIE,Keenan's Board,2025,7,hybrid_camber,82000,152 / 155 / 158 / 161,4,5,7,7,6,,https://dinosaurswilldie.com/product/2425-keenans-board-152/
UNITED SHAPES,Object,2026,5,hybrid_camber,72000,144 / 148 / 152 / 156 / 160,7,8,4,6,3,,https://unitedshapes.com/products/object
UNITED SHAPES,Horizon,2026,6,hybrid_camber,98000,143 / 147 / 151 / 155 / 159,5,6,6,7,6,,https://unitedshapes.com/products/horizon
UNITED SHAPES,Cadet,2026,7,hybrid_camber,105000,146 / 150 / 154 / 158 / 162,4,5,7,7,7,,https://unitedshapes.com/products/cadet-2025
UNITED SHAPES,Deep Reach,2026,6,hybrid_camber,112000,149 / 153 / 156 / 159 / 162,2,3,8,5,9,,https://unitedshapes.com/products/deep-reach
UNITED SHAPES,Experiment,2026,5,rocker,120000,148 / 155,3,3,5,4,10,,https://unitedshapes.com/products/experiment
UNITED SHAPES,Transmission,2026,9,camber,112000,154 / 159,1,2,10,4,3,,https://unitedshapes.com/products/transmission
DC Snowboarding,Ply,2026,6,hybrid_camber,60000,150 / 153 / 156 / 159,6,7,5,6,4,,https://www.dcshoes.com/
DC Snowboarding,PBJ,2026,4,flat,55000,149 / 153 / 155 / 157 / 159,8,8,3,5,3,,https://www.dcshoes.com/
DC Snowboarding,EMB,2026,5,hybrid_camber,58000,150 / 153 / 156 / 158 / 160,5,6,6,6,5,,https://www.dcshoes.com/
ThirtyTwo,T32M,2026,6,camber,90000,148 / 150 / 152 / 154 / 156,6,9,5,6,3,,https://thirtytwo.com/collections/snowboards
ThirtyTwo,Middle Earth Pro LTD,2026,5,camber,90000,155 / 157 / 158,7,8,5,6,4,,https://thirtytwo.com/products/middle-earth-pro-limited-edition-snowboard-snu-mep-xx
ThirtyTwo,XXX Fava Pro LTD,2026,6,camber,95000,152 / 154 / 156 / 158,8,9,4,7,3,,https://thirtytwo.com/products/xxx-fava-pro-limited-edition-snowboard-snm-pat-xx
SIMS,FLUID,2025,3,double_camber,68200,138 / 142 / 146,6,7,4,5,4,,https://simsnow.jp/products/26-fluid
SIMS,VANILLA,2025,4,hybrid_camber,75900,139 / 144 / 149,7,8,4,6,3,,https://simsnow.jp/products/26-vanilla
SIMS,BOWL SQUAD,2025,3,hybrid_camber,68200,149 / 151 / 154 / 155 / 157 / 159,5,6,5,6,4,,https://simsnow.jp/products/26-bowl-squad
SIMS,JOKER,2025,3,double_camber,68200,148 / 151 / 154 / 156 / 159 / 162,7,8,4,6,3,,https://simsnow.jp/products/26-joker
